,sub_label,template,obj_label,masked_sentence,filled_sentence,Parrot_paraphrased_filled_sentence,Parrot_paraphrased_filled_sentence_0
713,Stamatios Kleanthis,[X] died in [Y] .,Athens,"The 19th-century architecture of [MASK] and other cities of the Greek Kingdom is mostly influenced by the Neoclassical architecture, with architects like Theophil Hansen, Ernst Ziller and Stamatios Kleanthis.","The 19th-century architecture of Athens and other cities of the Greek Kingdom is mostly influenced by the Neoclassical architecture, with architects like Theophil Hansen, Ernst Ziller and Stamatios Kleanthis.",,
714,Quirinus of Neuss,[X] died in [Y] .,Rome,"Saint Quirinus of Tegernsee, or Quirinus of [MASK] (not to be confused with Quirinus of Neuss, also sometimes called Quirinus of Rome), is venerated as a martyr and saint of the third century.","Saint Quirinus of Tegernsee, or Quirinus of Rome (not to be confused with Quirinus of Neuss, also sometimes called Quirinus of Rome), is venerated as a martyr and saint of the third century.","['Saint Quirinus of Tegernsee, or Quirinus of Rome (not to be confused with Quirinus of Neuss, also sometimes called Quirinus of Rome), is venerated as a martyr and saint of the third century.']","['Saint Quirinus of Tegernsee, or Quirinus of Rome (not to be confused with Quirinus of Neuss, also sometimes called Quirinus of Rome), is venerated as a martyr and saint of the third century.']"
715,Charles Fleetwood,[X] died in [Y] .,London,"The Wallingford House party were a group of senior officers (Grandees) of the New Model Army who met at Wallingford House, the [MASK] home of Charles Fleetwood.","The Wallingford House party were a group of senior officers (Grandees) of the New Model Army who met at Wallingford House, the London home of Charles Fleetwood.",['the wallingford house party was a group of senior officers grandees of the new model army who met at wallingford house the london home of charles fleetwood'],['the wallingford house party was a group of senior officers grandees of the new model army who met at wallingford house the london home of charles fleetwood']
716,"Charles, Prince of Viana",[X] died in [Y] .,Barcelona,"After Leonello's unexpected death (1450) Angelo sought patronage elsewhere, moving first to [MASK], then spending time at the Neapolitan court of Alfonso the Great of Aragon, where his brother also served, and returning to Barcelona after Alfonso's death in 1458, at the invitation of Carlos de Aragon, Prince de Viana.","After Leonello's unexpected death (1450) Angelo sought patronage elsewhere, moving first to Barcelona, then spending time at the Neapolitan court of Alfonso the Great of Aragon, where his brother also served, and returning to Barcelona after Alfonso's death in 1458, at the invitation of Carlos de Aragon, Prince de Viana.","[""After Leonello's unexpected death (1450) Angelo sought patronage elsewhere, moving first to Barcelona, then spending time at the Neapolitan court of Alfonso the Great of Aragon, where his brother also served, and returning to Barcelona after Alfonso's death in 1458, at the invitation of Carlos de Aragon, Prince de Viana.""]","[""After Leonello's unexpected death (1450) Angelo sought patronage elsewhere, moving first to Barcelona, then spending time at the Neapolitan court of Alfonso the Great of Aragon, where his brother also served, and returning to Barcelona after Alfonso's death in 1458, at the invitation of Carlos de Aragon, Prince de Viana.""]"
717,Mike Zwerin,[X] died in [Y] .,Paris,"Mike Zwerin died aged 79 in [MASK] after a long illness on April 2, 2010.","Mike Zwerin died aged 79 in Paris after a long illness on April 2, 2010.","['mike zwerin died at 79 on 2 april 2010 in paris after a long illness', 'mike zwerin died in paris 2 april 2010 after a long illness', 'mike zwerin died on 2 april 2010 after a long illness in paris']","['mike zwerin died at 79 on 2 april 2010 in paris after a long illness', 'mike zwerin died in paris 2 april 2010 after a long illness', 'mike zwerin died on 2 april 2010 after a long illness in paris']"
718,Joseph Desha,[X] died in [Y] .,Georgetown,"Georgetown Cemetery located in [MASK], is the burial site of two Kentucky Governors; James F. Robinson and Joseph Desha, and Kentucky Confederate Governor George W. Johnson.","Georgetown Cemetery located in Georgetown, is the burial site of two Kentucky Governors; James F. Robinson and Joseph Desha, and Kentucky Confederate Governor George W. Johnson.","['georgetown cemetery is the burial site of two kentucky governors james f robinson and joseph desha and kentucky confederate governor george w johnson', 'the georgetown cemetery in georgetown is the burial place of two kentucky governors james f robinson and joseph desha and kentucky confederate governor george w johnson']","['georgetown cemetery is the burial site of two kentucky governors james f robinson and joseph desha and kentucky confederate governor george w johnson', 'the georgetown cemetery in georgetown is the burial place of two kentucky governors james f robinson and joseph desha and kentucky confederate governor george w johnson']"
719,John Sartain,[X] died in [Y] .,Philadelphia,"Something of a prodigy, she was awarded the John Sartain Fellowship at the [MASK] School of Design for Women (now Moore College of Art and Design).","Something of a prodigy, she was awarded the John Sartain Fellowship at the Philadelphia School of Design for Women (now Moore College of Art and Design).","['she was awarded the john sartain fellowship at philadelphia school of design for women now moore college of art and design', 'she was awarded a john sartain fellowship at the philadelphia school of design for women now moore college of art and design']","['she was awarded the john sartain fellowship at philadelphia school of design for women now moore college of art and design', 'she was awarded a john sartain fellowship at the philadelphia school of design for women now moore college of art and design']"
720,Saint Christopher,[X] died in [Y] .,Anatolia,"Saint Christopher of Trebizond was born in a village called Gazaree in Trebizond in the region of Pontus, [MASK] Minor.He was the head of the Soumela Monastery on Mount Mela in the second half of the seventh century (641-668).","Saint Christopher of Trebizond was born in a village called Gazaree in Trebizond in the region of Pontus, Anatolia Minor.He was the head of the Soumela Monastery on Mount Mela in the second half of the seventh century (641-668).","['Saint Christopher of Trebizond was born in a village called Gazaree in Trebizond in the region of Pontus, Anatolia Minor.He was the head of the Soumela Monastery on Mount Mela in the second half of the seventh century (641-668).']","['Saint Christopher of Trebizond was born in a village called Gazaree in Trebizond in the region of Pontus, Anatolia Minor.He was the head of the Soumela Monastery on Mount Mela in the second half of the seventh century (641-668).']"
721,Phillips Brooks,[X] died in [Y] .,Boston,"After its former site on Summer Street burned in the Great [MASK] Fire of 1872, the current church complex was erected under the direction of Rector Phillips Brooks (1835–1893), one of the best-known and most charismatic preachers of his time.","After its former site on Summer Street burned in the Great Boston Fire of 1872, the current church complex was erected under the direction of Rector Phillips Brooks (1835–1893), one of the best-known and most charismatic preachers of his time.","['the current church complex was erected under the direction of rector phillips brooks 1835-1893 one of the best-known and most charismatic preachers of his time after its former site burned in the great boston fire of 1872', 'after its former site on summer street burned in the great boston fire of 1872 the current church complex was erected under the direction of rector phillips brooks 1835-1893 one of the best-known and most charismatic preachers of his']","['the current church complex was erected under the direction of rector phillips brooks 1835-1893 one of the best-known and most charismatic preachers of his time after its former site burned in the great boston fire of 1872', 'after its former site on summer street burned in the great boston fire of 1872 the current church complex was erected under the direction of rector phillips brooks 1835-1893 one of the best-known and most charismatic preachers of his']"
722,Melvin Day,[X] died in [Y] .,Wellington,"In 2004 the major survey exhibition Melvin Day – Continuum was held at City Gallery, [MASK], prior to travelling to Rotorua Museum of Art & History, Rotorua.","In 2004 the major survey exhibition Melvin Day – Continuum was held at City Gallery, Wellington, prior to travelling to Rotorua Museum of Art & History, Rotorua.","['In 2004 the major survey exhibition Melvin Day – Continuum was held at City Gallery, Wellington, prior to travelling to Rotorua Museum of Art & History, Rotorua.']","['In 2004 the major survey exhibition Melvin Day – Continuum was held at City Gallery, Wellington, prior to travelling to Rotorua Museum of Art & History, Rotorua.']"
723,Frederick Grinke,[X] died in [Y] .,Ipswich,"Frederick Grinke (Born 8 August 1911 Winnipeg, Manitoba, Canada - Died 16 March 1987 [MASK], UK) was a Canadian born violinist who had an international career as soloist, chamber musician, and teacher.","Frederick Grinke (Born 8 August 1911 Winnipeg, Manitoba, Canada - Died 16 March 1987 Ipswich, UK) was a Canadian born violinist who had an international career as soloist, chamber musician, and teacher.","['Frederick Grinke (Born 8 August 1911 Winnipeg, Manitoba, Canada - Died 16 March 1987 Ipswich, UK) was a Canadian born violinist who had an international career as soloist, chamber musician, and teacher.']","['Frederick Grinke (Born 8 August 1911 Winnipeg, Manitoba, Canada - Died 16 March 1987 Ipswich, UK) was a Canadian born violinist who had an international career as soloist, chamber musician, and teacher.']"
724,Frederick August Wenderoth,[X] died in [Y] .,Philadelphia,"He is identified as the architect of many government buildings built during that period, including some listed on the National Register of Historic Places.Wenderoth was born in [MASK] in 1871 and was the son of the noted photographer Frederick August Wenderoth, a pioneer ""...in addressing the public's desire for colored photographs.""","He is identified as the architect of many government buildings built during that period, including some listed on the National Register of Historic Places.Wenderoth was born in Philadelphia in 1871 and was the son of the noted photographer Frederick August Wenderoth, a pioneer ""...in addressing the public's desire for colored photographs.""","[""wenderoth is identified as the architect of many government buildings built during this period including some listed on the national register of historic places born in philadelphia in 1871 he was the son of noted photographer frederick august wenderoth a pioneer in addressing the public's desire for"", ""he is identified as the architect of many government buildings built during this period including some listed on the national register of historic placeswenderoth was born in philadelphia in 1871 and was the son of noted photographer frederick august wenderoth a pioneer in addressing the public's desire""]","[""wenderoth is identified as the architect of many government buildings built during this period including some listed on the national register of historic places born in philadelphia in 1871 he was the son of noted photographer frederick august wenderoth a pioneer in addressing the public's desire for"", ""he is identified as the architect of many government buildings built during this period including some listed on the national register of historic placeswenderoth was born in philadelphia in 1871 and was the son of noted photographer frederick august wenderoth a pioneer in addressing the public's desire""]"
725,Francesco Satolli,[X] died in [Y] .,Rome,"Elected Archbishop of Achrida In Partibus Infidelium and coadjutor cum jure successionis of Sydney on 20 July 1901, Kelly was Consecrated Coadjutor Archbishop on 15 August 1901 at St Joachim's Church, [MASK], by Cardinal Francesco Satolli.","Elected Archbishop of Achrida In Partibus Infidelium and coadjutor cum jure successionis of Sydney on 20 July 1901, Kelly was Consecrated Coadjutor Archbishop on 15 August 1901 at St Joachim's Church, Rome, by Cardinal Francesco Satolli.","[""in partibus infidelium elected archbishop and coadjutor cum jure successionis of sydney on 20 july 1901 kelly was consecrated coadjutor archbishop on 15 august 1901 at st joachim's church rome""]","[""in partibus infidelium elected archbishop and coadjutor cum jure successionis of sydney on 20 july 1901 kelly was consecrated coadjutor archbishop on 15 august 1901 at st joachim's church rome""]"
726,Vera Gornostayeva,[X] died in [Y] .,Moscow,Anton Salnikov began his professional training at the [MASK] Central School of Music under professor Vera Gornostayeva.,Anton Salnikov began his professional training at the Moscow Central School of Music under professor Vera Gornostayeva.,['anton salnikov began his professional training at the moscow central school of music under professor vera gornostayeva'],['anton salnikov began his professional training at the moscow central school of music under professor vera gornostayeva']
727,Pietro Andrea Ziani,[X] died in [Y] .,Naples,"After studying under Pietro Andrea Ziani (uncle of Marc'Antonio Ziani) in Venice, he moved to [MASK] late in his teens, where he joined the theatre company of Febi Armonici which produced early examples of melodrama.","After studying under Pietro Andrea Ziani (uncle of Marc'Antonio Ziani) in Venice, he moved to Naples late in his teens, where he joined the theatre company of Febi Armonici which produced early examples of melodrama.","[""after studying in venice under pietro andrea ziani uncle of marc'antonio ziani he moved to naples in his teens where he joined the theatre company febi armonici which produced early examples of melodrama"", ""after studying under pietro andrea ziani uncle of marc'antonio ziani in venice he moved late in his teens to naples where he joined the theatre company of febi armonici which produced early examples of melodrama"", ""after studying under pietro andrea ziani uncle of marc'antonio ziani in venice he moved to naples in his teens where he joined the theatre company febi armonici producing early examples of melodrama""]","[""after studying in venice under pietro andrea ziani uncle of marc'antonio ziani he moved to naples in his teens where he joined the theatre company febi armonici which produced early examples of melodrama"", ""after studying under pietro andrea ziani uncle of marc'antonio ziani in venice he moved late in his teens to naples where he joined the theatre company of febi armonici which produced early examples of melodrama"", ""after studying under pietro andrea ziani uncle of marc'antonio ziani in venice he moved to naples in his teens where he joined the theatre company febi armonici producing early examples of melodrama""]"
728,John Brack,[X] died in [Y] .,Melbourne,"Boyd was a member of the Antipodeans, a group of [MASK] painters that also included Clifton Pugh, David Boyd, John Brack, Robert Dickerson, John Perceval and Charles Blackman.","Boyd was a member of the Antipodeans, a group of Melbourne painters that also included Clifton Pugh, David Boyd, John Brack, Robert Dickerson, John Perceval and Charles Blackman.","['boyd was a member of the antipodeans a group of melbourne artists that also included charles blackman robert dickerson john brack clifton pugh and david boy', 'boyd was a member of the antipodeans a group of melbourne painters who also included charles blackman john brack robert dickerson david boyd and clifton pugh', 'boyd was a member of the antipodeans a group of melbourne painters which also included clifton pugh david boyd john brack robert dickerson john perceval and charles blackman']","['boyd was a member of the antipodeans a group of melbourne artists that also included charles blackman robert dickerson john brack clifton pugh and david boy', 'boyd was a member of the antipodeans a group of melbourne painters who also included charles blackman john brack robert dickerson david boyd and clifton pugh', 'boyd was a member of the antipodeans a group of melbourne painters which also included clifton pugh david boyd john brack robert dickerson john perceval and charles blackman']"
729,Michael Sachs,[X] died in [Y] .,Berlin,"Returning to [MASK], he taught in various private schools, until Michael Sachs, with whom he was always on terms of intimate friendship, appointed him principal of the religious school which had been opened in that city in 1854.","Returning to Berlin, he taught in various private schools, until Michael Sachs, with whom he was always on terms of intimate friendship, appointed him principal of the religious school which had been opened in that city in 1854.","['he returned to berlin and taught in various private schools until michael sachsklin whom he was always in intimate friendship appointed him principal of the religious school which had been opened in the city in 1854', 'he returned to berlin and taught in various private schools until michael sachs with whom he was always in intimate friendship appointed him as principal of the religious school which had been opened in the city in 1854', 'returning to berlin he taught in various private schools until michael sachs with whom he was always on terms of intimate friendship appointed him as principal of the religious school which was opened in the city in 1854']","['he returned to berlin and taught in various private schools until michael sachsklin whom he was always in intimate friendship appointed him principal of the religious school which had been opened in the city in 1854', 'he returned to berlin and taught in various private schools until michael sachs with whom he was always in intimate friendship appointed him as principal of the religious school which had been opened in the city in 1854', 'returning to berlin he taught in various private schools until michael sachs with whom he was always on terms of intimate friendship appointed him as principal of the religious school which was opened in the city in 1854']"
730,Taddeo Gaddi,[X] died in [Y] .,Florence,"He was born and died in [MASK], and was the son of the painter Taddeo Gaddi.","He was born and died in Florence, and was the son of the painter Taddeo Gaddi.","['he was born in florence and died in florence and was the son of painter taddeo gaddi', 'he was born and died in florence and was the son of painter taddeo gaddi']","['he was born in florence and died in florence and was the son of painter taddeo gaddi', 'he was born and died in florence and was the son of painter taddeo gaddi']"
731,Jean Gascon,[X] died in [Y] .,Stratford,"Paul trained at York University's acting program and began his acting career at the famed Stratford Shakespeare Festival in [MASK], appearing in such plays as Othello, directed by David William, She Stoops to Conquer, directed by Michael Bawtree, and Pericles, directed by Jean Gascon.","Paul trained at York University's acting program and began his acting career at the famed Stratford Shakespeare Festival in Stratford, appearing in such plays as Othello, directed by David William, She Stoops to Conquer, directed by Michael Bawtree, and Pericles, directed by Jean Gascon.","[""paul trained at york university's acting program and began his acting career at the famed stratford shakespeare festival in stratford appearing in such plays as othello directed by david william she stoops to conquer directed by michael bawtree and pericles directed by jean gas""]","[""paul trained at york university's acting program and began his acting career at the famed stratford shakespeare festival in stratford appearing in such plays as othello directed by david william she stoops to conquer directed by michael bawtree and pericles directed by jean gas""]"
732,Seth Holt,[X] died in [Y] .,London,"Seth Holt (1923, Palestine – 14 February 1971, [MASK]) was a British film director, producer and editor.","Seth Holt (1923, Palestine – 14 February 1971, London) was a British film director, producer and editor.",,
733,Jean Guillaume Moitte,[X] died in [Y] .,Paris,"Jean-Guillaume Moitte (11 November 1746, [MASK] - 2 May 1810, Paris) was a French sculptor.","Jean-Guillaume Moitte (11 November 1746, Paris - 2 May 1810, Paris) was a French sculptor.","['Jean-Guillaume Moitte (11 November 1746, Paris - 2 May 1810, Paris) was a French sculptor.']","['Jean-Guillaume Moitte (11 November 1746, Paris - 2 May 1810, Paris) was a French sculptor.']"
734,Egbert Benson,[X] died in [Y] .,Jamaica,"Egbert Benson (June 21, 1746 New York City – August 24, 1833 [MASK] County, New York) was a lawyer, jurist, politician from Upper Red Hook, New York, and a Founding Father of the United States who represented New York in the Continental Congress, Annapolis Convention, and the United States House of Representatives, and who served as a member of the New York State constitutional convention in 1788 which ratified the United States Constitution.","Egbert Benson (June 21, 1746 New York City – August 24, 1833 Jamaica County, New York) was a lawyer, jurist, politician from Upper Red Hook, New York, and a Founding Father of the United States who represented New York in the Continental Congress, Annapolis Convention, and the United States House of Representatives, and who served as a member of the New York State constitutional convention in 1788 which ratified the United States Constitution.","['Egbert Benson (June 21, 1746 New York City – August 24, 1833 Jamaica County, New York) was a lawyer, jurist, politician from Upper Red Hook, New York, and a Founding Father of the United States who represented New York in the Continental Congress, Annapolis Convention, and the United States House of Representatives, and who served as a member of the New York State constitutional convention in 1788 which ratified the United States Constitution.']","['Egbert Benson (June 21, 1746 New York City – August 24, 1833 Jamaica County, New York) was a lawyer, jurist, politician from Upper Red Hook, New York, and a Founding Father of the United States who represented New York in the Continental Congress, Annapolis Convention, and the United States House of Representatives, and who served as a member of the New York State constitutional convention in 1788 which ratified the United States Constitution.']"
735,Elmer McCurdy,[X] died in [Y] .,Oklahoma,"At one point he exhibited the mummified body of [MASK] Outlaw Elmer McCurdy, before it was acquired by Dan Sonney.","At one point he exhibited the mummified body of Oklahoma Outlaw Elmer McCurdy, before it was acquired by Dan Sonney.",['at one point he exhibited the mummified body of oklahoma outlaw elmer mccurdy before it was acquired by dan sonney'],['at one point he exhibited the mummified body of oklahoma outlaw elmer mccurdy before it was acquired by dan sonney']
736,Rudolf Besier,[X] died in [Y] .,Surrey,"Rudolf Besier died in [MASK] in 1942, aged 63.","Rudolf Besier died in Surrey in 1942, aged 63.","['rudolf besier died aged 63 in surrey in 1942', 'rudolf besier died in 1942 in surrey aged 63', 'rudolf besier died in surrey in 1942 aged 63']","['rudolf besier died aged 63 in surrey in 1942', 'rudolf besier died in 1942 in surrey aged 63', 'rudolf besier died in surrey in 1942 aged 63']"
737,Evert Taube,[X] died in [Y] .,Stockholm,"Michael Saxell received the prestigious SKAP (Swedish Composers of Popular Music) Stipendium award, honoring the memory of the Swedish songwriter and composer Evert Taube at an awards ceremony conducted at The Nordic Museum in [MASK] in May 2010.","Michael Saxell received the prestigious SKAP (Swedish Composers of Popular Music) Stipendium award, honoring the memory of the Swedish songwriter and composer Evert Taube at an awards ceremony conducted at The Nordic Museum in Stockholm in May 2010.","['michael saxell received the prestigious skap swedish composers of popular music stipendium award honoring the memory of swedish songwriter and composer evert taube in may 2010', 'michael saxell received the prestigious skap swedish composers of popular music stipendium award honoring the memory of the swedish composer and songwriter evert taube in a may 2010 award ceremony at the nordic museum', 'michael saxell received the prestigious skap swedish composers of popular music stipendium award honoring the memory of the swedish songwriter and composer evert taube at an awards ceremony conducted in may 2010 at the nordic museum']","['michael saxell received the prestigious skap swedish composers of popular music stipendium award honoring the memory of swedish songwriter and composer evert taube in may 2010', 'michael saxell received the prestigious skap swedish composers of popular music stipendium award honoring the memory of the swedish composer and songwriter evert taube in a may 2010 award ceremony at the nordic museum', 'michael saxell received the prestigious skap swedish composers of popular music stipendium award honoring the memory of the swedish songwriter and composer evert taube at an awards ceremony conducted in may 2010 at the nordic museum']"
738,Jack McGurn,[X] died in [Y] .,Chicago,"""Screwy"" Claude Maddox (1897–1958), also known as John E. Moore, was a [MASK] mobster and head of the Circus Cafe Gang whose ranks included future Chicago mobsters Anthony ""Tough Tony"" Capezio, Vincenzo De Mora (""Machine Gun"" Jack McGurn, one-time owner of the ""Green Mill"") and Antonino ""Tony"" ""Joe Batters"" Accardo.","""Screwy"" Claude Maddox (1897–1958), also known as John E. Moore, was a Chicago mobster and head of the Circus Cafe Gang whose ranks included future Chicago mobsters Anthony ""Tough Tony"" Capezio, Vincenzo De Mora (""Machine Gun"" Jack McGurn, one-time owner of the ""Green Mill"") and Antonino ""Tony"" ""Joe Batters"" Accardo.",,
739,Fred Hampton,[X] died in [Y] .,Chicago,"AIM participated in the Rainbow Coalition organized by the civil rights activist and urban leader Fred Hampton, who was elected as Deputy Chairman of the Illinois Chapter of the Black Panthers shortly before his assassination at the hands of [MASK] police in Chicago on December 4, 1969.","AIM participated in the Rainbow Coalition organized by the civil rights activist and urban leader Fred Hampton, who was elected as Deputy Chairman of the Illinois Chapter of the Black Panthers shortly before his assassination at the hands of Chicago police in Chicago on December 4, 1969.","['aim participated in the rainbow coalition led by civil rights activist and urban leader fred hampton who was elected deputy chairman of the illinois chapter of the black panthers shortly before his assassination by chicago police on december 4 1969', 'aim participated in the rainbow coalition organized by the civil rights activist and urban leader fred hampton who was elected deputy chairman of the illinois chapter of the black panthers shortly before his assassination in chicago on december 4 1969', 'aim participated in the rainbow coalition organized by the civil rights activist and urban leader fred hampton who was elected as deputy chairman of the illinois chapter of the black panthers shortly before his assassination by chicago police on december 4 1969']","['aim participated in the rainbow coalition led by civil rights activist and urban leader fred hampton who was elected deputy chairman of the illinois chapter of the black panthers shortly before his assassination by chicago police on december 4 1969', 'aim participated in the rainbow coalition organized by the civil rights activist and urban leader fred hampton who was elected deputy chairman of the illinois chapter of the black panthers shortly before his assassination in chicago on december 4 1969', 'aim participated in the rainbow coalition organized by the civil rights activist and urban leader fred hampton who was elected as deputy chairman of the illinois chapter of the black panthers shortly before his assassination by chicago police on december 4 1969']"
740,Olaus Murie,[X] died in [Y] .,Moose,"Located near [MASK] in the southern end of Grand Teton National Park, the house and adjoining studio are now part of the Murie Ranch Historic District, a National Historic Landmark encompassing the Murie residence and the former STS Ranch, home to Olaus' brother Adolph.","Located near Moose in the southern end of Grand Teton National Park, the house and adjoining studio are now part of the Murie Ranch Historic District, a National Historic Landmark encompassing the Murie residence and the former STS Ranch, home to Olaus' brother Adolph.","[""the house and the adjoining studio are now part of the murie ranch historic district a national historic landmark containing the murie residence and the former sts ranch home of olaus' brother adolph"", ""the house and its adjoining studio are now part of the murie ranch historic district a national historic landmark comprising the murie residence and the former sts ranch home of olaus' brother adolph""]","[""the house and the adjoining studio are now part of the murie ranch historic district a national historic landmark containing the murie residence and the former sts ranch home of olaus' brother adolph"", ""the house and its adjoining studio are now part of the murie ranch historic district a national historic landmark comprising the murie residence and the former sts ranch home of olaus' brother adolph""]"
741,Jan Bytnar,[X] died in [Y] .,Warsaw,"Zawadzki himself commanded the Operation Arsenal, a daring action of the Polish resistance, which took place in [MASK] on March 26, 1943, and which resulted in freeing Zawadzki's former high school classmate, Jan Bytnar.","Zawadzki himself commanded the Operation Arsenal, a daring action of the Polish resistance, which took place in Warsaw on March 26, 1943, and which resulted in freeing Zawadzki's former high school classmate, Jan Bytnar.","[""Zawadzki himself commanded the Operation Arsenal, a daring action of the Polish resistance, which took place in Warsaw on March 26, 1943, and which resulted in freeing Zawadzki's former high school classmate, Jan Bytnar.""]","[""Zawadzki himself commanded the Operation Arsenal, a daring action of the Polish resistance, which took place in Warsaw on March 26, 1943, and which resulted in freeing Zawadzki's former high school classmate, Jan Bytnar.""]"
742,James Buchanan,[X] died in [Y] .,Lancaster,"Wheatland, or the James Buchanan House, is a brick, Federal style house outside of [MASK], in Lancaster Township, Lancaster County.","Wheatland, or the James Buchanan House, is a brick, Federal style house outside of Lancaster, in Lancaster Township, Lancaster County.","['Wheatland, or the James Buchanan House, is a brick, Federal style house outside of Lancaster, in Lancaster Township, Lancaster County.']","['Wheatland, or the James Buchanan House, is a brick, Federal style house outside of Lancaster, in Lancaster Township, Lancaster County.']"
743,Granville Sharp,[X] died in [Y] .,London,"He worked at the Board of Ordnance based at the Tower of [MASK] from 1770, where he was the direct superior of Granville Sharp.","He worked at the Board of Ordnance based at the Tower of London from 1770, where he was the direct superior of Granville Sharp.","['from 1770 he worked at the tower of london board of ordnance where he was a direct superior to granville sharp', 'he worked from 1770 on board of the ordnance at the tower of london where he was the direct superior of granville sharp', 'from 1770 he worked at the board of ordnance based in the tower of london where he was the direct superior of granville sharp']","['from 1770 he worked at the tower of london board of ordnance where he was a direct superior to granville sharp', 'he worked from 1770 on board of the ordnance at the tower of london where he was the direct superior of granville sharp', 'from 1770 he worked at the board of ordnance based in the tower of london where he was the direct superior of granville sharp']"
744,Cosimo Bartoli,[X] died in [Y] .,Florence,"Camilliani was praised in one of Cosimo Bartoli's Ragionamenti Accademici; in the course of a stroll through [MASK] the interlocutors in Bartoli's dialogue say of one of Camilliani's statues, that, had it been buried and rediscovered, it would have been praised heartily.","Camilliani was praised in one of Cosimo Bartoli's Ragionamenti Accademici; in the course of a stroll through Florence the interlocutors in Bartoli's dialogue say of one of Camilliani's statues, that, had it been buried and rediscovered, it would have been praised heartily.","[""Camilliani was praised in one of Cosimo Bartoli's Ragionamenti Accademici; in the course of a stroll through Florence the interlocutors in Bartoli's dialogue say of one of Camilliani's statues, that, had it been buried and rediscovered, it would have been praised heartily.""]","[""Camilliani was praised in one of Cosimo Bartoli's Ragionamenti Accademici; in the course of a stroll through Florence the interlocutors in Bartoli's dialogue say of one of Camilliani's statues, that, had it been buried and rediscovered, it would have been praised heartily.""]"
745,Leo Moser,[X] died in [Y] .,Edmonton,"Leo Moser (April 11, 1921, Vienna – February 9, 1970, [MASK]) was an Austrian-Canadian mathematician, best known for his polygon notation.","Leo Moser (April 11, 1921, Vienna – February 9, 1970, Edmonton) was an Austrian-Canadian mathematician, best known for his polygon notation.",['leo moser 11 april 1921 vienna 9 february 1970 edmonton was an austrian-canadian mathematician best known for his polygon notation'],['leo moser 11 april 1921 vienna 9 february 1970 edmonton was an austrian-canadian mathematician best known for his polygon notation']
746,Jacques Derrida,[X] died in [Y] .,Paris,"The project proposed the construction of a garden in the Parc de la Villette in [MASK], which included a sieve, or harp-like structure that Derrida envisaged as a physical metaphor for the receptacle-like properties of the chora.","The project proposed the construction of a garden in the Parc de la Villette in Paris, which included a sieve, or harp-like structure that Derrida envisaged as a physical metaphor for the receptacle-like properties of the chora.","['the project proposed the construction of a garden in the parc de la villette in paris which included a sieve-like structure that derrida envisaged as a physical metaphor for the receptacle-like properties of the', 'the project proposed the construction of a garden in the parc de la villette in paris which included a sieve or a harp-like structure that derrida envisaged as a physical metaphor for the receptacle-like properties of the', 'the project proposed the construction of a garden in the parc de la villette in paris which included a sieve or harp-like structure that derrida envisaged as a physical metaphor for the receptacle-like properties of the chora']","['the project proposed the construction of a garden in the parc de la villette in paris which included a sieve-like structure that derrida envisaged as a physical metaphor for the receptacle-like properties of the', 'the project proposed the construction of a garden in the parc de la villette in paris which included a sieve or a harp-like structure that derrida envisaged as a physical metaphor for the receptacle-like properties of the', 'the project proposed the construction of a garden in the parc de la villette in paris which included a sieve or harp-like structure that derrida envisaged as a physical metaphor for the receptacle-like properties of the chora']"
747,Tino di Camaino,[X] died in [Y] .,Naples,"In addition, Tino di Camaino and Giotto apparently visited [MASK] under Angevin patronage.","In addition, Tino di Camaino and Giotto apparently visited Naples under Angevin patronage.","['tino di camaino and giotto also visited naples apparently under the patronage of angevin', 'in addition tino di camaino and giotto apparently visited naples under angevin patronage']","['tino di camaino and giotto also visited naples apparently under the patronage of angevin', 'in addition tino di camaino and giotto apparently visited naples under angevin patronage']"
748,Alexander Belyavsky,[X] died in [Y] .,Moscow,"Alexander Borisovich Belyavsky (Russian: Алекса́ндр Бори́сович Беля́вский, 6 May 1932, [MASK], USSR – 8 September 2012, Moscow, Russia) was a Soviet/Russian actor who appeared in more than one hundred films.","Alexander Borisovich Belyavsky (Russian: Алекса́ндр Бори́сович Беля́вский, 6 May 1932, Moscow, USSR – 8 September 2012, Moscow, Russia) was a Soviet/Russian actor who appeared in more than one hundred films.","['Alexander Borisovich Belyavsky (Russian: Алекса́ндр Бори́сович Беля́вский, 6 May 1932, Moscow, USSR – 8 September 2012, Moscow, Russia) was a Soviet/Russian actor who appeared in more than one hundred films.']","['Alexander Borisovich Belyavsky (Russian: Алекса́ндр Бори́сович Беля́вский, 6 May 1932, Moscow, USSR – 8 September 2012, Moscow, Russia) was a Soviet/Russian actor who appeared in more than one hundred films.']"
749,Julius Exner,[X] died in [Y] .,Copenhagen,"Johan Julius Exner, (30 November 1825 – 15 November 1910), Danish genre painter, was born in [MASK] to Johann Gottlieb Exner, a Czech musician from Bohemia, who came to Denmark during the Napoleonic period, and his wife Karen Jørgensdatter.","Johan Julius Exner, (30 November 1825 – 15 November 1910), Danish genre painter, was born in Copenhagen to Johann Gottlieb Exner, a Czech musician from Bohemia, who came to Denmark during the Napoleonic period, and his wife Karen Jørgensdatter.",,
